Part Name,Description,Quantity,Unit Price (USD),Total Price (USD),Distributor,Purchase URL
MELLOW FLY SUPER 8,,1,,,,
HEATED BED (deprecated),,1,,,,
X Y MOTORS,,1,,,,
Z MOTOR,,1,,,,
EXTRUDER,,1,,,,
SRSC,,1,,,,
5015 BLOWER FAN,,1,,,,
HEPA FILTER,,1,,,,
THERMISTOR,,1,,,,
BED HEATER,,1,,,,
THERMISTOR,,1,,,,
HEATER,,1,,,,
48V DV,,1,,,,
24V DC,,1,,,,
X ENDSTOP,,1,,,,
Z ENDSTOP,,1,,,,
Y ENDSTOP,,1,,,,
RPI CAM,,1,,,,
SSR,,1,,,,
OCTO SCREEN,,1,,,,
GND,,1,,,,
AC INPUT,,1,,,,
FRAME,,1,,,,
GND,,1,,,,
FAN,,1,,,,
CHAMBER FAN,,1,,,,
CONTROLLER FAN,,1,,,,
CHAMBER SENSOR,,1,,,,
FILAMENT SENSOR,,1,,,,
LED LIGHT,,1,,,,
BLD,,1,,,,
LED LIGHTS,,1,,,,
HEATED BED,,1,,,,
TMC FAN,,1,,,,
CHAMBER THERMISTOR,,1,,,,
CAN USB ,,1,,,,
Raspberry Pi RPI3-MODB-16GB-NOOBS,Raspberry Pi 3 Model B 16GB RAM Single Board Computer Board with 16GB Micro SD Card - NOOBS Pre loaded,1,,,,
CPAP DRIVER,,1,,,,
CPAP FAN,,1,,,,
GND,,1,,,,
